frame_ms,thresh_db,min_speech,min_sil,noise_margin,lat_med,lat_mean,barge_in_rate,overlap_ratio,n_caller,min_valid,mean_priority_r
30,-38,0.2,0.1,12,0.8783746356373946,0.8488741400750192,0.7725760750200159,0.7590626177383427,0.6503916470942448,282,0.7818558231130035
20,-42,0.3,0.25,18,0.8780764474109782,0.8512198484074467,0.8174883870447169,0.8363212213531115,0.5592801471042252,282,0.7884772102640957
20,-46,0.2,0.2,12,0.8780354743950063,0.8913786768377617,0.8993504214447321,0.8857957321554153,0.8061282494790685,282,0.8721377108623967
20,-38,0.2,0.2,18,0.8776742819664957,0.8415654591247851,0.7657484661487252,0.7819753235763709,0.5111038825218073,282,0.7556134826676368
30,-34,0.1,0.4,12,0.8773618283351525,0.8651904582708282,0.7988088862331754,0.7206620315106018,0.7102333390692454,282,0.7944513086838005
20,-34,0.1,0.2,18,0.8763768496077804,0.8406096812687548,0.8002145920529495,0.7562351108569304,0.5071443587704859,282,0.7561161185113802
20,-38,0.2,0.25,18,0.8762975704204075,0.8357732113747253,0.7855903526437797,0.804944497835816,0.5540126608374832,282,0.7713236586224423
20,-46,0.3,0.25,12,0.8758647366508162,0.8786317262433908,0.8702414219463248,0.8767790171989899,0.7797339112435572,282,0.8562501626566158
20,-42,0.2,0.3,12,0.8756546925120264,0.8807211859508743,0.8586943867257052,0.8409587318547043,0.7813481949615547,282,0.847475438400973
30,-30,0.3,0.4,18,0.8755110030773754,0.8553937252607273,0.7074475438504187,0.7028911612361243,0.5042580543875895,282,0.7291002975624471
20,-42,0.3,0.2,18,0.8754441671285466,0.8501005935812667,0.789615358571104,0.8034197946290143,0.5042511589256081,282,0.7645662145671079
20,-34,0.1,0.25,18,0.8749087120655978,0.8344291109629505,0.8022646290996986,0.7671818805125513,0.5313985436476821,282,0.7620365752576961
20,-46,0.3,0.2,12,0.8744247773262717,0.8766176360206926,0.8528039988004469,0.8590753568974692,0.7561289464757219,282,0.8438101431041204
30,-42,0.3,0.3,12,0.8743318058927076,0.8837757379003127,0.8321430527532783,0.8229957730790485,0.7468890924614529,282,0.8320270924173601
20,-30,0.2,0.4,18,0.8742697558181686,0.8512170163810824,0.7396375154456257,0.7231427778837448,0.5840981418371584,282,0.754473041473156
30,-38,0.1,0.3,12,0.872633429161705,0.8712930659008347,0.8406196270145129,0.7880086626533374,0.7326513959103267,282,0.8210412361281433
30,-30,0.1,0.2,18,0.8723919175444937,0.8400311181812693,0.7589813082012602,0.6685888371157713,0.37153626830981595,282,0.7023058898705221
30,-26,0.1,0.4,18,0.8716382384544463,0.8309457340675276,0.7201647795820113,0.6586896222960323,0.42875735925332925,282,0.7020391467306694
30,-42,0.3,0.25,12,0.8713008313520451,0.8611960530073494,0.823210832555557,0.818947850238933,0.7047423012274264,282,0.8158795736762622
20,-42,0.3,0.4,12,0.8712670006189213,0.8718350260717487,0.8564466153931934,0.8439043863516218,0.8030170128793479,282,0.8492940082629665
30,-38,0.2,0.3,12,0.8712254250624022,0.8666635995193228,0.7956419342385997,0.7682877553229924,0.7015537852412481,282,0.8006744998769131
20,-34,0.2,0.3,18,0.870996411058612,0.8468272328531461,0.7624545689924325,0.7554882481411855,0.5632167641899875,282,0.7597966450470727
